Biomarker,Units,control,drug,change (%)
AUC for Cb (0-35min),mM*sec,36.32,30.72,-15.4
AUC for Cb (0-inf),mM*sec,39.92,49.33,23.57
Body extraction fraction,%,5.02,3.49,-30.5
Cardiac output,L/min,6.07,7.06,16.3
Heart-lung dispersion,%,20.18,43.36,114.86
Heart-lung mean transit time,sec,9.96,15.05,51.15
Organs blood mean transit time,sec,20.04,24.77,23.62
Organs extraction fraction,%,15.04,11.55,-23.19
Organs extravascular mean transit time,min,2.02,6.0,197.39
RE for R1b at 20min,%,13.31,12.66,-4.93
RE for Sb at 20min,%,28.87,4.16,-85.59
